ID,latitude,longitude,address,state,town,pinno,verified,reverse_geocoded_address,new_latitude,new_longitude,orig_landmarks,rev_landmarks,landmark_similarity
10004,19.0508048,72.9042676, atur park basant garden chembur mumbai  400071,maharashtra,mumbai,400071,Y,"Shop No 11, 12, Sion - Trombay Rd, opp. Maitri Park, next to Ajanta Wines Shop, Atur Park, Basant Garden, Chembur, Mumbai, Maharashtra 400071, India",19.0500631,72.9049757,"['24-2, Sion - Trombay Rd', 'Airtel Store', 'Unique Sports Academy', ""Smokin' Joe's"", 'Bianca The Luxury Clothspa - Premium Dry Cleaning & Laundry Services In Chembur', 'Mahaxmi Star Pan Shop', 'WINE SHOP', 'DRY FRUIT HOUSE- CHEMBUR', 'Quotient Consultancy', 'Stock Well Hair Studio', 'Dr Gurmit Singh | Best General Physician/ Internal Medicine Doctor Near Me | 52 Years Exp. | Mumbai', 'Xstream salon', 'Shoe Theme Chembur', 'Vi - Vodafone Idea Store', 'Shubham Pan Shop', 'Ashwini Maternity Hospital', 'Dr. Abhay S Mhatre', ""La Pino'z Pizza Chembur"", 'Shree Balram Dairy', 'Mumbai']","['Sion - Trombay Road', 'Sumitra Eye Care Hospital', 'OYO Flagship 389 Maitri Park', 'Woodland', 'Jagriti Yatra Office', 'Maitri Park', 'Bata Shoe Store', 'HP World - Chembur East', 'Jhama sweets', 'Paras Dry Fruits', ""Dr. Gurmit Singh's Consulting Room"", 'Metropolis Labs | Blood Test & Diagnostic Centre in Chembur', 'Maitri Park', 'Maitri Park', 'Paras Super Market', 'Oho Shawarma Chembur', 'Dell Exclusive Store - Chembur', 'Chirayu Healthcare Polyclinic And Diagnostic', 'iVenus', 'Mumbai']",0.7541000843048096
10006,19.0829897,72.906953,tilak road opp bikaji ghatkopare 400077,maharashtra,mumbai,400077,Y,"Shop No.4, Neelkanth Sadan, Hingwala Ln, opp. Electric office, Saibaba Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India",19.0830991,72.9066114,"['1-257, Tilak Rd', 'SUMANS LUCKNOWI', 'Innocence Infants & Kids', 'Athenian Salon Ghatkopar Mumbai', 'Monopoly ghatkopar', 'opp Food Spot', ""KD's Food Delight"", 'T.A.B - Take A Break, Ghatkopar', 'Green Jalapeno Pizza', 'Veena World - Ghatkopar East(Front Sales)', 'Nippon tubing solutions', 'Ayurvedam', 'SWETA FURIA & ASSOCIATES', 'Bikaji Foods Ghatkopar East', 'Mirae Asset Sharekhan', 'Earth Unisex Salon & Spa', 'Jenstar Enterprises', 'Good Luck Creation', 'Parsi Dairy Farm Ghatkopar', 'Mumbai']","['Hingwala Lane', 'SUMANS LUCKNOWI', 'Patanjali Arogya Kendra', 'Adani Electricity', 'KALA - The Art', ""Sumar's लखनवी"", 'Arya Gupta Nursery', 'Gupta Fruit Shop', 'Welcome Fast Food', 'A K Soap Centre', 'AAKAR FASHION INDIA', 'Urmee Ayurved (Ayurvedic Panchkarma Clinic)', ""Dr. Hemal Bheda's Urmee Ayurved & Pruthaveda (Ayurvedic Panchkarma Clinic)"", 'Sandip Vegetable Shelar', 'Athenian Salon Ghatkopar Mumbai', 'Mamta Novelty', 'Shree Krishna Hot & Fresh Chips', 'Tumbledry Dry Clean & Laundry Service', 'Laxmi vegetables & fruit suppliers', 'Mumbai']",0.7015430927276611
10010,19.1114996,72.9279308,station road vikhroliwest station road 400083,maharashtra,mumbai,400083,Y,"5, Station Rd, near Laxmi dairy, Lokamanya Nagar, Gandhi Nagar, Vikhroli West, Mumbai, Maharashtra 400083, India",19.1113672,72.9275807,"['5-8, Station Rd', 'SBI ATM', 'Arcee Trading Company', 'Robosoft Solution Microsoft Dynamics Partner in Dubai, UAE, India, UK, US', 'Kotak Mahindra Bank ATM', 'DHL Supply Chain', 'South Zone Idli House', 'Ajay Store', 'Mohan Pan Beedi Shop', 'Aruna Restaurant and Bar', 'Baba Vadapav & Snacks', 'SHUSHIL PAN BIDI STALL AWDHESHKUMARSOJOKHUR', 'Mohini Vilas Hotel and Restaurant', 'Sunil Shah', 'Chandrama Shah', 'Vikash fruit', 'Baharistan Bldg', 'Mufeeda Coconut', 'Modern Lunch Home', 'Mumbai']","['5-8, Station Rd', 'Robosoft Solution Microsoft Dynamics Partner in Dubai, UAE, India, UK, US', 'Kotak Mahindra Bank ATM', 'Arcee Trading Company', 'Laxmi Jewellers', 'Fantasy the cake shop', 'Laxmi dairy', 'Glowwed Films', 'Delta Fin', 'Planet Mobile', 'RTO Seva 4U. - Professional RTO Consultant - RTO Agent , Vehicle NOC, Transfer, Driving License', 'Arrow Marine Tech', 'Babaso Hande Shop', 'Shriaunsh pav bhaji', 'Xtra Care Clinic', 'Jiomart Digital:Jagruti electronics', 'Arya arcade', 'HDFC ERGO Insurance Agent: Sandip B Pansare', 'B tech', 'Mumbai']",0.7833633422851562
10011,19.0932824,72.912599,oppshreyas cinema lbsmarg ghatkoparw 400082,maharashtra,mumbai,400082,Y,"1, Lal Bahadur Shastri Marg, Sainath Nagar, Nityanand Nagar, Ghatkopar West, Mumbai, Maharashtra 400086, India",19.0931042,72.91247659999999,"['1, Lal Bahadur Shastri Marg', 'Mohan Jewellers', 'Apple Graphics', 'DTDC - GHATKOPAR WEST', 'Panacea Cosmetology and Trichology Centre', 'Bhoomi Realtors', 'QUANTUM EQUIPMENT CO. LTD', 'Saraswat Bank - Ghatkopar West', 'Mastan Tin Works', 'Cavinkare Pvt Ltd (Regional Office)', 'Framekart.in - optician Near me (ghatkopar w)', 'Raj optical', 'Manisha pithaadia', 'Bikaner sweets and namkin', 'United Colors Of Benetton', 'Veeralakshmi Shop', 'Pruthvi Marketing', 'Voltas Exclusive Shop - Suresh Enterprises, Mumbai', 'Kotak Mahindra Bank ATM', 'Mumbai']","['Lal Bahadur Shastri Marg', 'Saraswat Bank - Ghatkopar West', 'Mohan Jewellers', 'Marathimarriage', 'A. V. Steel Forgings Pvt. Ltd.', 'Mitashi Edutainment Pvt Ltd', 'Comtek Software Technologies Pvt. Ltd.', 'DESIGN CENTRE ENGINEERS PVT. LTD.', 'Dooall Corpro India Pvt. Ltd', 'SBI Life Insurance Company Limited', 'RAYS Battery', 'N.S.Corporation', 'A - 1 PANI PURI CENTER', 'Janaswamy Associates', 'Framekart.in - optician Near me (ghatkopar w)', 'Shreyas Cinema', 'Manisha pithaadia', 'Raj optical', 'Xpert Engineering', 'Mumbai']",0.7315605878829956
10014,19.0701489,72.8782098,nr bhaji mandi kurlaw  400070,maharashtra,mumbai,400070,Y,"Shop No 43 laxman road yadav market kurla bhaji market near fish market gate CST road kurla (w) Mumbai.70 Shop No 43 laxman road yadav market kurla bhaji market near fish market gate CST road, w) Mumbai.70, Ambedkar Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",19.0726295,72.8844721,"['36, Malik Liyaqat Hussain Marg', 'St. Joseph High School', 'Super General Store', 'Altamash Collection', 'Nisar Cloths', 'M.D. HASAN SHOP', 'LIMRA juise', 'Vikas Home Appliances', 'Shop No 6 Alif Fashion Kurla Bhaji Market', 'LUCKY LACE', ""Novelty Fashion's"", 'Right Choice Collection', 'Khan Pamper Collection', 'lukman malik collection', 'Afroj Collection', 'ANIS CLOTHING', 'Mohammad Shameem Khan', 'Mo ikbal husain collection', 'G K MAWAWALA', 'Mumbai']","['9, Mumbai - Pune Hwy', 'Al-Barkaat Malik Muhammad Islam English School', 'Alamgeer Hotel', 'SAGAR PAN SHOP', 'Kurla vehicle parts', 'Koragappa rai house', 'Khan', 'Kurla se tarikh Naik Nagar', 'Kunal', 'Zube design studio', 'Kurla', 'Nirmal building', 'Hair Salon At Your Doorstep', 'Sanjay Kumar', 'Ek traders', 'Kurla', 'Kurla', 'Dj Chinmay', 'Gurap fruits holsel er', 'Mumbai']",0.7331482172012329
10015,19.0682454,72.8749835,suleman khatri building  299f kurla west  kurla 400070,maharashtra,mumbai,400070,Y,"Bobby Apts, 299/6/7, Lal Bahadur Shastri Marg, near Taximens Colony, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",19.0682034,72.87493599999999,"['Lal Bahadur Shastri Marg', 'Fortpoint Automotive Pvt Ltd', 'Narang Electronics', 'Wallpaper Installer Mumbai', 'Home', 'Gausiya Masjid', 'Vijay Kumar Falooda', 'Balaji Traders ku', 'Litchi Distribution Co.', 'Bake Ur Day - A Custom Cakery | 100% VEG Cakes | Kurla -BKC', 'DAIKIN TEAMWORK AIR CONDITIONING', 'M/s. Nitin Medical & General Stores', 'Modanisa Abaya India', 'The WELLNESS CENTER', 'Rock On Clothes & Accessories', 'CITYDENT DENTAL CLINIC', 'Family Health Clinic, Kurla', 'VISIONCRAFT', 'Suresh Sweets', 'Mumbai']","['Lal Bahadur Shastri Marg', 'Fortpoint Automotive Pvt Ltd', 'Home', 'Gausiya Masjid', 'Narang Electronics', 'Balaji Traders ku', 'Bake Ur Day - A Custom Cakery | 100% VEG Cakes | Kurla -BKC', 'Wallpaper Installer Mumbai', 'Vijay Kumar Falooda', 'Litchi Distribution Co.', 'DAIKIN TEAMWORK AIR CONDITIONING', 'Modanisa Abaya India', 'M/s. Nitin Medical & General Stores', 'Rock On Clothes & Accessories', 'Aram Bagh', 'Bombay Glass Centre', 'CITYDENT DENTAL CLINIC', 'The WELLNESS CENTER', 'Bobby Apartment', 'Mumbai']",0.97966468334198
10016,19.0458033,72.9024433,shop no 03 vikas commercial centre chembur east near basant cinema 400074,maharashtra,mumbai,400074,Y,"B5, CG Rd, Wadavli, Vasant Vihar Complex, Chembur, Mumbai, Maharashtra 400071, India",19.045689,72.902464,"['Kolwada Borla Road', 'Euro Fruits Pvt Ltd', ""Dr Lulla's Homeopathic"", 'Weldwell Speciality Pvt. Ltd.', 'Muscle Talk', 'ICICI Bank Chembur II, Mumbai-Branch & ATM', 'The Professional Couriers', 'Nathani Clinic', 'Spicy Bliss', 'Vikas Digital Photo Studio', 'PARVIN FOOTWEAR', 'ADARESH PAAN SHOP', 'Basant Medical Stores', 'HORSE CLUB', 'Athera Rehabilitation & Physiotherapy Clinic', 'Ice Cream Works | Chembur', 'The Moustache Chef', 'SVC Bank', 'Krav Maga Chembur (KMG)', 'Mumbai']","['Kolwada Borla Road', 'Euro Fruits Pvt Ltd', ""Dr Lulla's Homeopathic"", 'Weldwell Speciality Pvt. Ltd.', 'ICICI Bank Chembur II, Mumbai-Branch & ATM', 'Muscle Talk', 'Nathani Clinic', 'Basant Medical Stores', 'Spicy Bliss', 'PARVIN FOOTWEAR', 'HORSE CLUB', 'ADARESH PAAN SHOP', 'Athera Rehabilitation & Physiotherapy Clinic', 'Krav Maga Chembur (KMG)', 'SVC Bank', 'Vikas Digital Photo Studio', 'GULAB PANI PURI', 'HOT DOG DELIGHT', 'The Moustache Chef', 'Mumbai']",0.9571902751922607
10018,19.1020474,72.8846254,shop no30dipak center safed pul saki naka mumbai 400072,maharashtra,mumbai,400072,Y,"Pioneer building, 58/b, Andheri - Kurla Rd, opposite AKRUTI ORCHID PARK, Saki Naka, Mumbai, Maharashtra 400059, India",19.1018925,72.8845817,"['Magan Nathuram Road', 'Treebo Amber International Mumbai Airport', 'Purohit Steel Company', 'Al Aziz Plastics Private Limited', 'New India Assurance Co. Ltd.', 'Vijay Printing Press (Saki Naka)', 'Mamg & Co Chartered Accountants', 'SPEEDEX COURIERS', 'Venus Chess Academy', 'TIMES INDUSTRIES', 'Consult Careers', 'Abhishek Marketing', 'Nazir transport service', 'Orchid Supermarket', 'OBAL STEEL SOLUTIONS', 'Vulutre Hr Private Limited', 'Dr Jyotsna D Patel Cosmetic Gynecology Center', 'super fast tempo stock yard', 'anori transport service', 'Mumbai']","['Magan Nathuram Road', 'Treebo Amber International Mumbai Airport', 'Purohit Steel Company', 'Al Aziz Plastics Private Limited', 'Mamg & Co Chartered Accountants', 'Nazir transport service', 'SPEEDEX COURIERS', 'Vijay Printing Press (Saki Naka)', 'Amber Narsury', 'Dr Jyotsna D Patel Cosmetic Gynecology Center', 'Orchid Supermarket', 'Vijay Printing Press (Saki Naka)', 'Upendra Shop', 'Venus Chess Academy', 'TIMES INDUSTRIES', 'Consult Careers', 'Abhishek Marketing', 'anori transport service', 'OBAL STEEL SOLUTIONS', 'Mumbai']",0.9754154682159424
10020,19.0620093,72.9010123,navketan building n g aacharya marg chembur east  400071,maharashtra,mumbai,400071,Y,"Dr.Ambedkar Udyan or Chembur Station, Chembur West, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India",19.06197,72.901192,"['70-82, Narayan Gajanan Acharya Marg', 'The Cottage', 'Gupta Travels', 'Poshya & Co', 'Acer Authorised Service Center @ Laptop India Corporation', 'Vaishali Hall , Chembur', 'Vaishali Garden', 'Rajkamal Oils', 'Valechha Glass Centre', 'Sree Gokulam Chit & Finance Co Private Limited', 'A R Enterprises', 'Balans Hotel', 'Safal teachers Training Institute', 'Dinesh Tailors And Designer Studio', 'S-Tek IT Education', 'The Localise', 'Prakash Lodge', 'Dr.Ambedkar Udyan or Chembur Station', 'Jai Bharat Laundry', 'Mumbai']","['70-82, Narayan Gajanan Acharya Marg', 'The Cottage', 'Gupta Travels', 'Balans Hotel', 'Sree Gokulam Chit & Finance Co Private Limited', 'Poshya & Co', 'Valechha Glass Centre', 'Acer Authorised Service Center @ Laptop India Corporation', 'Dinesh Tailors And Designer Studio', 'A R Enterprises', 'Vaishali Hall , Chembur', 'Vaishali Garden', 'Rajkamal Oils', 'VIDYA DIAGNOSTIC CENTRE : Home Visit Blood Test | Diagnostic Centre in Chembur', 'MoneyGram', 'The Royal Orchid', 'Raviraj Investments Corporate (India) Pvt. Ltd.', 'Shree Anjani Courier Services Pvt. Ltd.', 'Prakash Lodge', 'Mumbai']",0.8779487609863281
10022,19.0393616,72.9475798,chita camp mankhurd east 400088,maharashtra,mumbai,400088,Y,"4, MG Ramachandran Marg, B Sector, Datta Nagar, Trombay, Mumbai, Maharashtra 400088, India",19.0392526,72.947818,"['1, MG Ramachandran Marg', 'The Chembur Nagarik Sahakari Bank Ltd.', 'Haniya Fashion Bag', 'Shree Ashok Jewellers', 'City Medical', 'SHAKTI GRAIN STORE', 'Laxmi emporium. Proprietor Rajendra sultan Singh Rajpurohit', 'Zed One Foot Wear', 'Akhlak Collection', 'Zaima Abaya', 'SADAN COLLECTION', 'City Light Chemist', 'RAEESH HAIR SALON', 'Afza Clothe', 'Ridwan Cloth', 'PharmEasy Store - Tejpunj Medical Store', 'Mustaq Collection', 'Arif Fruits Shop', ""PAPA CAKE'S CORNER"", 'Mumbai']","['3-2, Balaji Mandir Rd', 'JPS Collection', 'MAHAVIR STEEL EMPORIUM', 'Ramzan sweet mart', 'KAPIL LAUNDRY AND DRY CLEANING', 'Akhlak Collection', 'Instamed Ashok Medical & General Stores', 'PharmEasy Store - Tejpunj Medical Store', 'Mustaq Collection', 'Ridwan Cloth', 'SADAN COLLECTION', 'Zed One Foot Wear', 'RAEESH HAIR SALON', 'Bombay Medical & General Stores', 'Anirudha Mens & Kids Collection', 'Govind Mor', 'BCB Ramzan Collection', 'Rk Disposals And Plastic', 'Shree Mataji Grain And Provision Store', 'Mumbai']",0.8517137765884399
