Sr no.,PrvLatitude,PrvLongitude,PrvAddress1,IsVerified,Nearby_Landmarks
1,19.0607737,72.9239859,"plot no 32 baiganwad, plot no 32 baiganwad, plot no 32 baiganwad, 400043",N,Mumbai; MASTER ACADEMY | SCIENCE CLASSES IN GOVANDI | PHARMACY ACADEMY IN GOVANDI | PHARMACY INSTITUTE MUMBAI; Kohinoor Traders; Bright Future Govandi Center; Rashtrawadi Congress Party Janasampark Karyalay; MUNTAZAR CLASSES I SCIENCE I COMMERCE I ARTS I SSC I HSC | CBSE; Axis Bank ATM; Cafe Royal Hotel; Ganesh Temple; Variety; TATA Indicash ATM; Star Enterprises; IMPERIAL TUTORIAL FOR COMMERCE AND SCIENCE; Amit Waidande; Sana beauty parlour & Classes; RK Steel Corporation; Dr. Babasaheb Ambedkar Garden A Block; Shalimar Hotel; Al-Amaan English School; Govandi West
2,19.0736685140331,72.8687473895693,"KURLA LBS, , , 400070",N,Mumbai; breakfree consulting - corporate training I eLearning & gamification I operational excellence; Hotel BKC Grand; Total Logistics (India) Private Limited; Jindal Infraprojects Pvt. Ltd.; Sumit Artista; Almondz Global Securities Limited; IDBI Bank; Midco Ltd; H K Industries; Bank of Baroda CST Road Kalina Branch; Jhaveri Power Labs; Dena Bank ATM; Tarot reader in mumbai; L&T Finance Ltd.; Maruti Suzuki Service (Excell Autovista); Annstechs Led; Jaguar Land Rover | Navnit Motors | Jaguar Land Rover Showroom; ICS TECHNOLOGIES; MMRDA Area
3,19.0460937609896,72.9099294170737,"CHEMBURE CAMP, , , 400082",N,"Mumbai; Apollo Spectra Hospital; Pain Clinic Of India; Edifice Consultants Pvt. Ltd; N. D. Shares & Securities; Bhavna Trust Junior & Degree College of Commerce & Science; Monginis Cake Shop; KOMAL TYRES; Satnam Motors; Panjarpole Compound; Niraj Cement Structurals Limited; SVC Bank; ACE INTERGLOBE; Plasma Life Care; Professional Metamorphosis; Apnalaya; Resource Dyechem, Specialty Chemicals For Textiles & Leather; Sports United India Pvt Ltd; LEELAVATI AUTOMATION PVT. LTD; Union Park"
4,19.0508048,72.9042676,"Atur Park, Basant Garden,, Chembur, Mumbai,, , 400071",Y,"Mumbai; Airtel Store; Unique Sports Academy; Smokin' Joe's; IFB Point - Chembur; "" Executive Car Mall ""; Woodland; Sumitra Eye Care Hospital; Gtpl Office; Little Stirs by Miera; Jagriti Yatra Office; OYO Flagship 389 Maitri Park; Yoga Sadhana Kendra; Bank of Baroda ATM; Stefab India Limited; Pressto Drycleaning & Laundry Pvt. Ltd; NuAyurveda - Ayurveda Clinic in Chembur for Weight Loss, Hair Fall, Arthritis, Skin Issues, Ayurvedic Massage & Panchakarma.; 35 White Castle; Shree Sai Motors; Union Park"
5,19.0488479705527,72.9065413679928,"MAITRY PARK, S.T.DEPOT, , 400071",N,Mumbai; HDFC Life Insurance; Stefab India Limited; Sagar Speciality Chemicals Pvt Ltd; 35 White Castle; Prime Style; Genesis Nutech LLP; Darshan Roadlines; Flamingo Additives And Colourants LLP; Chemford International; Dnyandeep Co-op. Credit Society Ltd.; Maitri Park ST; Sai Estate Agency; SALAMANDER WINDOW & DOOR SYSTEMS PRIVATE LIMITED; Kaya Clinic: Chembur; Ekta Oculus; Shubham Group; Pressto Drycleaning & Laundry Pvt. Ltd; M/s Bombay Construction & Infraprojects Pvt. Ltd.; Union Park
6,19.0829897,72.906953,"TILAK ROAD, OPP BIKAJI, GHATKOPAR(E), 400077",Y,"Mumbai; IDBI Bank; Punjab National Bank; The Smile Savers Dental Clinic; Helios Watch Store - By Titan I Ghatkopar East, Mumbai; Nayaks Tutorials Branch; Shree Maruti Courier Service Pvt. Ltd; SUMANS LUCKNOWI; Sabka dentist; Innocence Infants & Kids; Grooming Minds - Dr. Dipti Shah (Gada); Vertex Sales Private Limited; Varun Cardiac Clinic; L N Mehta Classes; P2S Information Systems Pvt. Ltd.; Hardik Parikh Associates LLP; Malde Capacitors Manufacturing Co; Eks Filter Technik India Pvt Ltd; Mac Chem; Saibaba Nagar"
7,19.0666025276589,72.8794845471038,"OPP.PHOENIX MALL, L.B.S.MARG, KURLA(W), , 400070",N,Mumbai; Patil Medical & General Stores; Supreme Mehandi & Henna Exports; Bata Shoe Store; Suwarn Sparsh; Kurla East Police Station; Dr Shahid I Barmare; Mehta Jewellers; Acoustic SoundProof Work Acoustic Pet Panel Techsound Sheet Glasswool Acoustic Fabric Foam; Khadi Bhandar; Ansari Brothers Printing & Graphics; Shalimar Restaurant; Balaji Temple; Mobile Planet; Padmini Fireworks & Cracker Dealer; One Stop store.; Perfect Hardwares; Royal Collection; Archies; Nehru Nagar
8,19.0777744,72.9089494,"90FEET ROAD, GHATKOPAR(E), , 400073",N,"Mumbai; ICICI Bank Ltd.,Mumbai-Ghatkopar; Lavender Bough; R Odeon Mall; Mayur Electronics; Rainbow Kids; Dental Hub | Dr. Gaurav Shah | Dr. Kosha Shah; CABS N CARS; Persian Indigo; The Dentist; Relationship Lifetime Services; Ions Pharma; Kandoi Haribhai Damodar Mithaiwala; Mediaworks - Design & Web / Mobile App Development; Bombay Bar; IndusInd Bank ATM; Noble classes - Shaping The Future; Dr. Dipti Gandhis; IndusInd Bank; Sindhu Wadi"
9,19.077876,72.9090214,"HING WALA LANE, GHATKOPAR(E), , 400071",N,"Mumbai; ICICI Bank Ltd.,Mumbai-Ghatkopar; Lavender Bough; R Odeon Mall; Mayur Electronics; Rainbow Kids; Dental Hub | Dr. Gaurav Shah | Dr. Kosha Shah; Persian Indigo; Ions Pharma; The Dentist; Relationship Lifetime Services; Kandoi Haribhai Damodar Mithaiwala; Mediaworks - Design & Web / Mobile App Development; Dr. Dipti Gandhis; Bombay Bar; IndusInd Bank ATM; Anjali Digital Scan Dr Ashish Kapadia; Noble classes - Shaping The Future; IndusInd Bank; Sindhu Wadi"
10,19.1114996,72.9279308,"STATION ROAD, VIkHROLI(west), STATION ROAD, 400083",Y,"Mumbai; Vikhroli; Prince Optics (Opticians in Vikhroli West); Heena Digital Studio; Monginis Cake Shop; Bluechip Corporate Investment Centre Limited; Kottakkal Arya Vaidya Sala; Navbharat Constructions; Laxmi Furnitures; Shreenath T.V.Services; SBI ATM; Arcee Trading Company; Robosoft Solution Microsoft Dynamics Partner in Dubai, UAE, India, UK, US; Kotak Mahindra Bank ATM; Canara Bank ATM - Vikhroli West; Fantasy the cake shop; Laxmi Jewellers; Hotel Satkar pure veg; Sparkle Dental Clinic; Tagore Nagar"
